순위,종목코드,종목명,시장구분,시작일기준가,종료일종가,대비,등락률,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"1","025560","미래산업","KOSPI","168","133","-35","-20.83","5189378678","21095035","990292747654","4025580275"
"2","093230","이아이디","KOSPI","205","221","16","7.80","4778609212","19425241","1943150454266","7898985586"
"3","027740","마니커","KOSPI","819","814","-5","-0.61","2966132613","12057450","3483544185277","14160748721"
"4","005930","삼성전자","KOSPI","42300","62400","20100","47.52","2719841583","11056267","129981516543841","528380148552"
"5","007460","에이프로젠 KIC","KOSPI","2940","2710","-230","-7.82","2573993193","10463387","7777904467565","31617497836"
"6","008350","남선알미늄","KOSPI","2740","4300","1560","56.93","2473801151","10056102","9230668506615","37523042710"
"7","012170","키위미디어그룹","KOSPI","403","150","-253","-62.78","2078892840","8450784","439990690656","1788580043"
"8","033180","필룩스","KOSPI","11900","7040","-4860","-40.84","1898626232","7717993","14609013526335","59386233847"
"9","000890","보해양조","KOSPI","1870","1165","-705","-37.70","1880229027","7643207","2650526910096","10774499635"
"10","005390","신성통상","KOSPI","975","1520","545","55.90","1838698084","7474382","3144962544459","12784400587"
"11","012800","대창","KOSPI","951","1465","514","54.05","1640909350","6670363","2442262817668","9927897633"
"12","005110","한창","KOSPI","1990","3190","1200","60.30","1595279921","6484878","5594920672320","22743579969"
"13","007110","일신석재","KOSPI","2485","2520","35","1.41","1440473083","5855582","4418696561165","17962181143"
"14","003060","에이프로젠제약","KOSPI","1994","1330","-664","-33.30","1437037187","5841615","1932162953094","7854320948"
"15","002360","SH에너지화학","KOSPI","1215","1125","-90","-7.41","1413463603","5745787","1874637547178","7620477834"
"16","030790","동양네트웍스","KOSPI","2305","412","-1893","-82.13","1379406470","5607343","1443810334654","5869147702"
"17","002700","신일산업","KOSPI","1420","1955","535","37.68","1258269507","5114917","2666147652100","10837998586"
"18","044380","주연테크","KOSPI","408","882","474","116.18","1249838339","5080644","857089775006","3484104776"
"19","020560","아시아나항공","KOSPI","4305","5130","825","19.16","1141156343","4638847","6965686458715","28315798613"
"20","021050","서원","KOSPI","1160","3600","2440","210.34","1139457367","4631941","2592965486682","10540510108"
"21","002630","오리엔트바이오","KOSPI","565","313","-252","-44.60","1137324249","4623269","546260496844","2220571125"
"22","010660","화천기계","KOSPI","1990","3065","1075","54.02","1107986674","4504011","4569020380660","18573253580"
"23","003280","흥아해운","KOSPI","803","451","-352","-43.84","1046898947","4255687","624825639987","2539941626"
"24","009810","엔케이물산","KOSPI","883","908","25","2.83","1024490092","4164594","1060343310668","4310338661"
"25","009460","한창제지","KOSPI","2865","3030","165","5.76","1022346303","4155879","3235238993425","13151378022"
"26","093370","후성","KOSPI","7610","8750","1140","14.98","1004479279","4083249","9814062416610","39894562669"
"27","004770","써니전자","KOSPI","2385","5040","2655","111.32","998029429","4057030","4308564531560","17514489966"
"28","004060","SG세계물산","KOSPI","781","964","183","23.43","898931125","3654192","1040794588029","4230872309"
"29","004410","서울식품","KOSPI","182","168","-14","-7.69","861161307","3500656","168222087185","683829623"
"30","102280","쌍방울","KOSPI","1075","1050","-25","-2.33","860789438","3499144","1012039644740","4113982296"
"31","005360","모나미","KOSPI","2800","3505","705","25.18","854194070","3472334","4748360414115","19302278106"
"32","004270","남성","KOSPI","1955","3300","1345","68.80","811645304","3299371","2938896109550","11946732153"
"33","047400","유니온머티리얼","KOSPI","2005","2390","385","19.20","779023750","3166763","2326474047975","9457211577"
"34","031820","콤텍시스템","KOSPI","1474","1635","161","10.92","778187965","3163366","1364931073685","5548500300"
"35","000660","SK하이닉스","KOSPI","64600","99900","35300","54.64","775489942","3152398","59706853957490","242710788445"
"36","084680","이월드","KOSPI","2435","5320","2885","118.48","772783381","3141396","3237816094510","13161854043"
"37","092220","KEC","KOSPI","1145","1060","-85","-7.42","764062882","3105947","1027039027562","4174955397"
"38","014160","대영포장","KOSPI","1440","1125","-315","-21.88","760389968","3091016","1010450265190","4107521403"
"39","298690","에어부산","KOSPI","4885","5710","825","16.89","749182936","3045459","5462031974400","22203382010"
"40","001360","삼성제약","KOSPI","2600","4415","1815","69.81","745051364","3028664","2944939484170","11971298716"
"41","008040","사조동아원","KOSPI","1280","1045","-235","-18.36","738809105","3003289","1112816442644","4523644076"
"42","010140","삼성중공업","KOSPI","7610","7350","-260","-3.42","724176056","2943805","5790729110371","23539549229"
"43","017550","수산중공업","KOSPI","1930","2200","270","13.99","696618019","2831781","1394895578760","5670307231"
"44","003560","IHQ","KOSPI","1795","1825","30","1.67","693272120","2818179","1466747972075","5962390130"
"45","014990","인디에프","KOSPI","3920","2325","-1595","-40.69","652876966","2653971","2018787371800","8206452731"
"46","008600","윌비스","KOSPI","1440","1610","170","11.81","628836877","2556247","916887202614","3727183750"
"47","002900","동양물산","KOSPI","1862","1145","-717","-38.51","622577891","2530804","830159057448","3374630315"
"48","009320","대우부품","KOSPI","2960","2390","-570","-19.26","591638036","2405033","1516222112210","6163504521"
"49","074610","나노메딕스","KOSPI","5870","7080","1210","20.61","591000469","2402441","5176164676660","21041319824"
"50","011150","CJ씨푸드","KOSPI","2410","2685","275","11.41","587106604","2386612","1955796231930","7950391187"